,price,kms_driven,owner,age,power,brand
111,55000.0,4400.0,First Owner,4.0,150.0,Bajaj
112,63000.0,16000.0,First Owner,5.0,150.0,Yamaha
113,51000.0,9000.0,First Owner,4.0,150.0,Bajaj
114,69900.0,8700.0,First Owner,3.0,160.0,TVS
115,125000.0,1342.0,First Owner,4.0,200.0,Bajaj
116,210000.0,21000.0,First Owner,6.0,300.0,Benelli
117,35900.0,19000.0,First Owner,5.0,125.0,Honda
118,67000.0,13000.0,First Owner,9.0,250.0,Honda
119,29339.0,12771.0,First Owner,4.0,100.0,Hero
120,19695.0,51576.0,First Owner,6.0,100.0,Hero
121,48672.0,608.0,First Owner,2.0,110.0,Hero
122,40000.0,13680.0,First Owner,9.0,150.0,Honda
123,500000.0,285.0,First Owner,5.0,600.0,Yamaha
124,800000.0,3.0,First Owner,3.0,1299.0,Ducati
125,110000.0,24676.0,First Owner,5.0,410.0,Royal Enfield
126,92500.0,11000.0,First Owner,6.0,350.0,Royal Enfield
127,57000.0,28948.0,First Owner,5.0,200.0,Bajaj
128,72500.0,10000.0,First Owner,10.0,350.0,Royal Enfield
129,68000.0,16000.0,First Owner,9.0,200.0,KTM
130,21500.0,10500.0,First Owner,5.0,125.0,TVS
131,40000.0,20000.0,First Owner,6.0,160.0,TVS
132,91000.0,18000.0,First Owner,5.0,350.0,Royal Enfield
133,300000.0,3500.0,First Owner,6.0,750.0,Harley-Davidson
134,47000.0,70000.0,First Owner,6.0,150.0,Suzuki
135,53000.0,18158.0,First Owner,6.0,150.0,Suzuki
136,51000.0,39140.0,First Owner,5.0,150.0,Suzuki
137,48000.0,27776.0,First Owner,8.0,220.0,Bajaj
138,55000.0,32734.0,First Owner,6.0,220.0,Bajaj
139,173300.0,14000.0,First Owner,2.0,410.0,Royal Enfield
140,77000.0,13000.0,First Owner,8.0,350.0,Royal Enfield
141,115000.0,5000.0,First Owner,2.0,200.0,Bajaj
142,36000.0,39500.0,First Owner,7.0,150.0,Bajaj
143,72000.0,29500.0,First Owner,4.0,220.0,Bajaj
144,115000.0,14900.0,First Owner,3.0,350.0,Royal Enfield
145,65000.0,2000.0,First Owner,3.0,125.0,Honda
146,99000.0,4000.0,First Owner,2.0,150.0,Honda
147,68500.0,68500.0,Second Owner,7.0,150.0,Yamaha
148,140000.0,2473.0,First Owner,2.0,150.0,Yamaha
149,130000.0,9221.0,First Owner,3.0,200.0,KTM
150,46000.0,37128.0,First Owner,7.0,200.0,Bajaj
151,30000.0,16166.0,First Owner,6.0,125.0,Hero
152,116000.0,11716.0,First Owner,3.0,400.0,Bajaj
153,130000.0,8419.0,First Owner,3.0,350.0,Royal Enfield
154,98000.0,13459.0,First Owner,5.0,350.0,Royal Enfield
155,85000.0,14704.0,First Owner,6.0,350.0,Royal Enfield
158,50000.0,9200.0,First Owner,4.0,150.0,Bajaj
159,100000.0,30294.0,First Owner,5.0,350.0,Royal Enfield
160,66000.0,19756.0,First Owner,8.0,350.0,Royal Enfield
165,80000.0,12000.0,First Owner,2.0,160.0,Honda
166,123600.0,7702.0,First Owner,3.0,350.0,Royal Enfield
167,950000.0,312.0,First Owner,3.0,1300.0,Suzuki
168,107000.0,17000.0,First Owner,4.0,350.0,Royal Enfield
169,600000.0,16000.0,First Owner,5.0,821.0,Ducati
170,80000.0,3500.0,First Owner,3.0,150.0,Yamaha
171,75000.0,11050.0,First Owner,4.0,150.0,Suzuki
172,43778.0,948.0,First Owner,2.0,125.0,Hero
173,118000.0,11200.0,Second Owner,5.0,200.0,KTM
174,68000.0,10407.0,First Owner,5.0,150.0,Yamaha
175,27000.0,23000.0,First Owner,8.0,125.0,Bajaj
176,48500.0,5500.0,First Owner,2.0,100.0,Hero
177,15000.0,38000.0,First Owner,15.0,223.0,Hero
178,95000.0,23000.0,First Owner,5.0,200.0,KTM
179,145000.0,4500.0,First Owner,4.0,200.0,KTM
180,62000.0,11227.0,First Owner,3.0,150.0,Yamaha
181,25000.0,45000.0,First Owner,9.0,100.0,Hero
182,700000.0,100.0,First Owner,6.0,1198.0,Ducati
183,160000.0,3500.0,First Owner,3.0,500.0,Royal Enfield
184,47500.0,30000.0,First Owner,5.0,220.0,Bajaj
185,21000.0,38000.0,First Owner,9.0,150.0,Yamaha
186,18000.0,22000.0,First Owner,12.0,125.0,Yamaha
187,36000.0,54560.0,First Owner,8.0,223.0,Hero
188,52000.0,33150.0,First Owner,6.0,150.0,Yamaha
189,435000.0,5550.0,Second Owner,7.0,883.0,Harley-Davidson
190,68000.0,12077.0,First Owner,5.0,200.0,TVS
191,80000.0,5000.0,First Owner,4.0,220.0,Bajaj
192,110800.0,13300.0,First Owner,6.0,500.0,Royal Enfield
193,85000.0,16000.0,First Owner,2.0,160.0,TVS
194,145000.0,4000.0,First Owner,2.0,350.0,Royal Enfield
195,145000.0,3000.0,First Owner,3.0,400.0,Bajaj
196,149000.0,7000.0,First Owner,3.0,350.0,Royal Enfield
197,60000.0,4000.0,First Owner,2.0,100.0,Hero
198,140000.0,11000.0,First Owner,4.0,350.0,Royal Enfield
199,85000.0,15000.0,First Owner,7.0,200.0,KTM
200,86000.0,15000.0,First Owner,3.0,220.0,Bajaj
201,115000.0,15500.0,First Owner,4.0,350.0,Royal Enfield
202,83000.0,500.0,First Owner,3.0,150.0,Suzuki
207,28000.0,35251.0,First Owner,12.0,180.0,Bajaj
208,14500.0,35000.0,First Owner,14.0,100.0,Hero
209,32000.0,22000.0,First Owner,5.0,110.0,Hero
210,62500.0,26000.0,First Owner,5.0,180.0,Bajaj
211,122500.0,10000.0,First Owner,3.0,150.0,Yamaha
212,24500.0,15000.0,First Owner,6.0,100.0,Bajaj
213,78500.0,26000.0,First Owner,4.0,200.0,TVS
214,102500.0,21000.0,First Owner,4.0,350.0,Royal Enfield
215,28000.0,28428.0,First Owner,9.0,110.0,TVS
216,130000.0,10149.0,First Owner,3.0,350.0,Royal Enfield
217,130000.0,7036.0,First Owner,3.0,350.0,Royal Enfield
218,115000.0,7593.0,First Owner,4.0,400.0,Bajaj
219,96000.0,17000.0,First Owner,6.0,200.0,KTM
220,29500.0,15798.0,First Owner,4.0,100.0,Bajaj
221,100000.0,4800.0,First Owner,4.0,150.0,Yamaha
222,177982.0,7000.0,First Owner,2.0,410.0,Royal Enfield
223,202000.0,11000.0,First Owner,2.0,410.0,Royal Enfield
225,113000.0,28000.0,Third Owner,6.0,200.0,KTM
226,45400.0,23000.0,Second Owner,5.0,220.0,Bajaj
227,105000.0,16000.0,First Owner,4.0,350.0,Royal Enfield
228,885000.0,300.0,First Owner,2.0,959.0,Ducati
229,30000.0,50000.0,First Owner,6.0,150.0,Yamaha
230,22000.0,22000.0,First Owner,6.0,100.0,Bajaj
231,115000.0,10000.0,First Owner,4.0,350.0,Royal Enfield
232,55000.0,3000.0,First Owner,4.0,150.0,Bajaj
233,20000.0,55000.0,First Owner,9.0,125.0,Bajaj
234,56000.0,16500.0,First Owner,4.0,110.0,Hero
235,28000.0,36000.0,First Owner,5.0,100.0,TVS
236,44000.0,7329.0,First Owner,3.0,125.0,Hero
237,190000.0,8780.0,First Owner,2.0,400.0,Bajaj
238,78000.0,20000.0,First Owner,8.0,350.0,Royal Enfield
239,18787.0,28164.0,First Owner,10.0,125.0,Honda
240,51500.0,20600.0,First Owner,6.0,200.0,Bajaj
241,54200.0,5700.0,First Owner,6.0,220.0,Bajaj
242,175000.0,11277.0,First Owner,3.0,500.0,Royal Enfield
243,48000.0,26000.0,First Owner,7.0,220.0,Bajaj
244,40000.0,4000.0,First Owner,5.0,110.0,Honda
245,102400.0,11600.0,First Owner,4.0,400.0,Bajaj
246,65000.0,8800.0,First Owner,3.0,150.0,Yamaha
247,170000.0,2100.0,First Owner,4.0,390.0,KTM
248,12999.0,65000.0,First Owner,13.0,150.0,Bajaj
249,87000.0,20000.0,First Owner,6.0,200.0,KTM
250,45600.0,18000.0,Second Owner,5.0,220.0,Bajaj
251,42000.0,58000.0,First Owner,7.0,180.0,Bajaj
252,47000.0,24445.0,First Owner,8.0,200.0,Bajaj
253,31000.0,34525.0,First Owner,7.0,100.0,Bajaj
254,72500.0,19000.0,First Owner,4.0,150.0,Suzuki
255,80999.0,4000.0,First Owner,3.0,150.0,Suzuki
256,85000.0,9148.0,First Owner,6.0,200.0,Bajaj
257,60000.0,16000.0,First Owner,5.0,160.0,TVS
258,148999.0,3694.0,First Owner,4.0,400.0,Bajaj
259,49000.0,7524.0,First Owner,5.0,150.0,Bajaj
260,30000.0,23000.0,First Owner,8.0,100.0,Hero
261,140000.0,12800.0,First Owner,6.0,200.0,KTM
262,237818.0,1440.0,First Owner,2.0,390.0,KTM
265,23600.0,22672.0,Second Owner,6.0,150.0,Yamaha
266,100000.0,25000.0,First Owner,8.0,500.0,Royal Enfield
267,160700.0,10000.0,First Owner,3.0,200.0,KTM
268,78000.0,34200.0,First Owner,6.0,350.0,Royal Enfield
269,45000.0,7000.0,First Owner,4.0,150.0,Bajaj
270,60000.0,3490.0,First Owner,9.0,350.0,Royal Enfield
271,150000.0,7500.0,First Owner,5.0,200.0,KTM
272,37000.0,13500.0,First Owner,5.0,150.0,Bajaj
273,125000.0,11000.0,First Owner,5.0,350.0,Royal Enfield
274,70000.0,56353.0,First Owner,5.0,200.0,Bajaj
275,40000.0,25000.0,First Owner,7.0,220.0,Bajaj
276,62000.0,1123.0,First Owner,2.0,125.0,Yamaha
277,280000.0,1500.0,First Owner,2.0,650.0,Royal Enfield
278,44000.0,15000.0,First Owner,4.0,150.0,Bajaj
279,85000.0,31000.0,First Owner,7.0,350.0,Royal Enfield
280,51000.0,28000.0,First Owner,5.0,220.0,Bajaj
281,75000.0,11460.0,First Owner,3.0,220.0,Bajaj
282,160000.0,23000.0,First Owner,5.0,390.0,KTM
283,106000.0,1175.0,First Owner,2.0,200.0,Bajaj
284,599999.0,7800.0,Third Owner,5.0,675.0,Triumph
285,85000.0,15000.0,First Owner,7.0,250.0,Honda
286,31500.0,28653.0,First Owner,8.0,100.0,Hero
287,150000.0,8000.0,Second Owner,6.0,250.0,Hyosung
288,210000.0,2100.0,First Owner,2.0,295.0,Jawa
289,50000.0,3300.0,First Owner,4.0,125.0,Bajaj
290,29300.0,19000.0,First Owner,6.0,100.0,Bajaj
291,35740.0,20400.0,First Owner,4.0,125.0,Bajaj
292,24500.0,25000.0,First Owner,10.0,150.0,Yamaha
293,45000.0,18000.0,First Owner,7.0,223.0,Hero
294,210000.0,12000.0,First Owner,4.0,390.0,KTM
298,71000.0,11000.0,First Owner,9.0,350.0,Royal Enfield
303,80400.0,5100.0,Second Owner,4.0,250.0,Yamaha
304,135000.0,2200.0,First Owner,4.0,350.0,Royal Enfield
305,350000.0,3100.0,First Owner,6.0,750.0,Harley-Davidson
306,57000.0,1500.0,First Owner,11.0,223.0,Hero
307,76000.0,3000.0,First Owner,2.0,200.0,Hero
308,42100.0,22560.0,First Owner,11.0,150.0,Bajaj
309,73000.0,16658.0,First Owner,6.0,150.0,Yamaha
310,366000.0,3135.0,First Owner,3.0,302.0,Benelli
311,61200.0,29000.0,Second Owner,3.0,160.0,Honda
312,82000.0,29860.0,First Owner,7.0,350.0,Royal Enfield
313,120000.0,12000.0,First Owner,5.0,350.0,Royal Enfield
315,80000.0,7000.0,First Owner,3.0,160.0,TVS
316,81800.0,3700.0,First Owner,2.0,150.0,Suzuki
317,45900.0,27000.0,First Owner,6.0,220.0,Bajaj
319,86200.0,9300.0,First Owner,4.0,200.0,Bajaj
320,40000.0,9000.0,First Owner,3.0,100.0,Hero
321,10000.0,21389.0,First Owner,12.0,150.0,Hero
322,155000.0,13500.0,First Owner,5.0,250.0,Hyosung
323,46000.0,24374.0,First Owner,6.0,200.0,Bajaj
324,215000.0,9600.0,First Owner,4.0,390.0,KTM
326,23000.0,37000.0,First Owner,7.0,110.0,Honda
327,55250.0,7781.0,Second Owner,3.0,220.0,Bajaj
328,58000.0,7758.0,First Owner,2.0,110.0,Hero
329,66000.0,8000.0,First Owner,3.0,150.0,Yamaha
330,55000.0,32000.0,First Owner,7.0,223.0,Hero
331,89730.0,12100.0,First Owner,9.0,500.0,Royal Enfield
332,108000.0,26811.0,First Owner,6.0,350.0,Royal Enfield
333,314100.0,13500.0,First Owner,3.0,320.0,Yamaha
334,125000.0,16500.0,First Owner,39.0,350.0,Royal Enfield
335,18800.0,10401.0,First Owner,8.0,100.0,Hero
336,417000.0,13000.0,Second Owner,5.0,750.0,Harley-Davidson
337,105000.0,20500.0,First Owner,4.0,400.0,Bajaj
338,20000.0,19211.0,First Owner,6.0,110.0,Honda
339,88000.0,22500.0,First Owner,10.0,350.0,Royal Enfield
340,47000.0,14009.0,First Owner,2.0,125.0,Bajaj
341,95000.0,11000.0,First Owner,2.0,220.0,Bajaj
342,108000.0,2982.0,First Owner,3.0,150.0,Yamaha
343,186100.0,12000.0,First Owner,3.0,390.0,KTM
344,81500.0,3000.0,First Owner,1.0,125.0,Honda
345,20000.0,30806.0,First Owner,5.0,100.0,Bajaj
346,15000.0,55000.0,Second Owner,13.0,150.0,Bajaj
347,39000.0,5000.0,First Owner,5.0,150.0,Bajaj
348,102500.0,29000.0,First Owner,5.0,350.0,Royal Enfield
349,87000.0,15000.0,First Owner,7.0,350.0,Royal Enfield
350,118000.0,14500.0,First Owner,3.0,400.0,Bajaj
351,131100.0,6200.0,First Owner,4.0,350.0,Royal Enfield
355,42000.0,19000.0,First Owner,5.0,160.0,Honda
356,45000.0,15000.0,First Owner,4.0,110.0,Honda
359,255000.0,2200.0,First Owner,3.0,310.0,BMW
360,78700.0,3710.0,First Owner,2.0,160.0,TVS
361,62800.0,38400.0,Second Owner,7.0,250.0,Honda
362,35000.0,18000.0,First Owner,6.0,150.0,Bajaj
363,33800.0,17000.0,First Owner,5.0,150.0,Bajaj
364,125000.0,21000.0,Third Owner,11.0,250.0,Kawasaki
365,146000.0,4700.0,First Owner,5.0,410.0,Royal Enfield
366,569400.0,3174.0,First Owner,6.0,899.0,Benelli
367,1900000.0,1700.0,First Owner,6.0,1800.0,Indian
368,600000.0,230.0,First Owner,1.0,650.0,Kawasaki
369,185000.0,3000.0,First Owner,2.0,200.0,KTM
370,32000.0,32000.0,First Owner,5.0,100.0,Hero
371,38000.0,21000.0,First Owner,4.0,125.0,Hero
372,35000.0,38717.0,First Owner,5.0,150.0,Bajaj
373,42000.0,1999.0,First Owner,3.0,150.0,Hero
374,9350.0,39822.0,Second Owner,13.0,150.0,TVS
375,330000.0,7500.0,First Owner,5.0,650.0,Kawasaki
376,36500.0,23000.0,First Owner,7.0,100.0,Hero
377,38000.0,17376.0,Second Owner,5.0,100.0,Hero
378,75000.0,33000.0,First Owner,8.0,350.0,Royal Enfield
381,230000.0,9500.0,First Owner,4.0,300.0,Benelli
382,31500.0,20000.0,First Owner,8.0,160.0,TVS
385,46000.0,35000.0,First Owner,16.0,350.0,Royal Enfield
386,109900.0,8600.0,First Owner,5.0,350.0,Royal Enfield
388,35000.0,18000.0,First Owner,5.0,150.0,Bajaj
389,65000.0,18000.0,First Owner,3.0,160.0,Bajaj
390,175000.0,1800.0,First Owner,2.0,295.0,Jawa
391,126000.0,23000.0,First Owner,4.0,350.0,Royal Enfield
392,25000.0,29000.0,First Owner,9.0,125.0,Honda
393,89000.0,5000.0,First Owner,2.0,150.0,Honda
394,160000.0,7500.0,First Owner,2.0,350.0,Royal Enfield
395,130000.0,15000.0,First Owner,2.0,200.0,Bajaj
396,33500.0,26000.0,Second Owner,12.0,125.0,Honda
397,128000.0,8000.0,First Owner,3.0,150.0,Yamaha
398,143000.0,7000.0,First Owner,3.0,350.0,Royal Enfield
399,31000.0,31464.0,Second Owner,9.0,135.0,Bajaj
400,72000.0,7419.0,First Owner,3.0,150.0,Suzuki
401,108500.0,10000.0,First Owner,2.0,200.0,TVS
402,74500.0,10000.0,First Owner,4.0,220.0,Bajaj
403,24000.0,6300.0,First Owner,4.0,100.0,Bajaj
404,80000.0,17000.0,First Owner,3.0,220.0,Bajaj
405,81000.0,22000.0,First Owner,3.0,220.0,Bajaj
406,115000.0,15000.0,Second Owner,5.0,350.0,Royal Enfield
419,56500.0,10000.0,First Owner,2.0,110.0,Hero
420,75000.0,16000.0,First Owner,4.0,220.0,Bajaj
421,72000.0,32542.0,First Owner,6.0,150.0,Yamaha
422,73000.0,7461.0,First Owner,4.0,150.0,Suzuki
423,69500.0,28000.0,First Owner,6.0,200.0,Bajaj
424,78500.0,9800.0,First Owner,3.0,160.0,TVS
425,87000.0,7000.0,First Owner,2.0,160.0,TVS
426,40000.0,16688.0,Second Owner,6.0,180.0,TVS
427,145000.0,16000.0,First Owner,5.0,300.0,Mahindra
428,265000.0,12900.0,First Owner,2.0,650.0,Royal Enfield
429,235000.0,7000.0,First Owner,4.0,300.0,Benelli
430,400000.0,3000.0,First Owner,6.0,750.0,Harley-Davidson
431,30000.0,11000.0,First Owner,13.0,110.0,Honda
432,140000.0,14000.0,First Owner,5.0,200.0,KTM
433,98000.0,17000.0,First Owner,3.0,250.0,Yamaha
434,74500.0,5432.0,Second Owner,6.0,350.0,Royal Enfield
435,75000.0,3419.0,First Owner,3.0,200.0,TVS
436,27500.0,25757.0,First Owner,8.0,125.0,Hero
437,10200.0,71474.0,First Owner,12.0,150.0,TVS
438,57000.0,17000.0,First Owner,5.0,150.0,Bajaj
439,21000.0,34688.0,First Owner,13.0,160.0,TVS
440,68500.0,8100.0,First Owner,3.0,160.0,Bajaj
441,174500.0,7900.0,First Owner,3.0,250.0,KTM
442,108000.0,20000.0,First Owner,5.0,350.0,Royal Enfield
448,50000.0,12000.0,First Owner,4.0,150.0,Suzuki
449,118000.0,12000.0,First Owner,7.0,535.0,Royal Enfield
451,33000.0,17525.0,First Owner,5.0,125.0,Hero
452,150000.0,9000.0,First Owner,4.0,200.0,KTM
453,70000.0,5000.0,First Owner,4.0,220.0,Bajaj
454,105000.0,13200.0,First Owner,6.0,350.0,Royal Enfield
455,135000.0,5000.0,First Owner,4.0,400.0,Bajaj
456,140000.0,7500.0,First Owner,4.0,400.0,Bajaj
457,26000.0,28000.0,First Owner,8.0,110.0,Hero
458,230000.0,1100.0,First Owner,4.0,390.0,KTM
459,53000.0,25000.0,First Owner,5.0,125.0,Honda
460,76000.0,7500.0,First Owner,4.0,150.0,Bajaj
461,135000.0,7000.0,First Owner,4.0,400.0,Bajaj
462,45000.0,10200.0,First Owner,4.0,125.0,Bajaj
463,60000.0,3500.0,First Owner,4.0,150.0,Bajaj
464,40000.0,15000.0,First Owner,4.0,110.0,Hero
465,133000.0,8000.0,First Owner,4.0,350.0,Royal Enfield
466,25000.0,33000.0,First Owner,7.0,100.0,Bajaj
467,99999.0,5500.0,First Owner,3.0,150.0,Suzuki
468,130000.0,14500.0,Second Owner,8.0,250.0,Honda
469,25000.0,40688.0,First Owner,5.0,100.0,Hero
470,75000.0,15000.0,First Owner,4.0,220.0,Bajaj
471,53000.0,10000.0,First Owner,5.0,180.0,Bajaj
472,25000.0,16801.0,First Owner,6.0,125.0,Suzuki
473,46500.0,21342.0,First Owner,5.0,150.0,Bajaj
474,18999.0,38669.0,Third Owner,6.0,110.0,Mahindra
475,17800.0,10000.0,First Owner,8.0,110.0,Mahindra
476,52000.0,17000.0,First Owner,4.0,180.0,Bajaj
477,70000.0,13500.0,First Owner,4.0,160.0,Honda
478,85000.0,7350.0,First Owner,5.0,150.0,Yamaha
479,150000.0,4000.0,First Owner,2.0,350.0,Royal Enfield
480,115000.0,27000.0,First Owner,5.0,350.0,Royal Enfield
481,93200.0,6500.0,First Owner,5.0,150.0,Honda
482,155000.0,21250.0,First Owner,5.0,390.0,KTM
483,78000.0,16000.0,First Owner,6.0,200.0,Bajaj
484,85000.0,12600.0,First Owner,7.0,350.0,Royal Enfield
485,43000.0,32000.0,First Owner,5.0,150.0,Bajaj
486,50390.0,45949.0,First Owner,4.0,160.0,TVS
487,128700.0,15900.0,Second Owner,5.0,500.0,Royal Enfield
488,510000.0,5600.0,First Owner,4.0,750.0,Harley-Davidson
489,65000.0,33000.0,First Owner,4.0,150.0,Yamaha
490,55000.0,2000.0,First Owner,9.0,150.0,Honda
491,126000.0,6518.0,First Owner,4.0,350.0,Royal Enfield
492,53300.0,10000.0,First Owner,2.0,100.0,Hero
493,76000.0,10000.0,First Owner,4.0,200.0,Bajaj
494,140000.0,10200.0,First Owner,4.0,400.0,Bajaj
495,13600.0,87267.0,First Owner,13.0,135.0,Bajaj
496,73000.0,2100.0,First Owner,3.0,180.0,TVS
497,17000.0,28130.0,Second Owner,8.0,125.0,Bajaj
498,29000.0,39000.0,First Owner,6.0,150.0,Bajaj
499,49000.0,7500.0,First Owner,5.0,150.0,Suzuki
500,371100.0,6300.0,Second Owner,5.0,750.0,Harley-Davidson
501,30000.0,7334.0,First Owner,7.0,100.0,Bajaj
502,70000.0,3400.0,First Owner,4.0,150.0,Bajaj
503,131000.0,9900.0,First Owner,4.0,350.0,Royal Enfield
504,65000.0,7000.0,First Owner,4.0,160.0,Bajaj
505,65000.0,2600.0,First Owner,2.0,100.0,Hero
506,96000.0,24000.0,First Owner,5.0,350.0,Royal Enfield
